# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	58128	58451	-							CBP33_RS00260	324		old_locus_tag=CBP33_00260
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	58128	58451	-	WP_086910892.1	WP_086910892.1		hypothetical protein			CBP33_RS00260	324	107	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	58714	59742	+							CBP33_RS00265	1029		old_locus_tag=CBP33_00265
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	58714	59742	+	WP_086910893.1	WP_086910893.1		IS30 family transposase			CBP33_RS00265	1029	342	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	59947	61284	-							CBP33_RS00270	1338		old_locus_tag=CBP33_00270
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	59947	61284	-	WP_086910894.1	WP_086910894.1		IS1182 family transposase			CBP33_RS00270	1338	445	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	61397	62209	-					phnE		CBP33_RS00275	813		old_locus_tag=CBP33_00275
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	61397	62209	-	WP_086910895.1	WP_086910895.1		phosphonate ABC transporter, permease protein PhnE	phnE		CBP33_RS00275	813	270	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	62206	63060	-							CBP33_RS00280	855		old_locus_tag=CBP33_00280
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	62206	63060	-	WP_204246680.1	WP_204246680.1		ABC transporter permease			CBP33_RS00280	855	284	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	63083	63913	-							CBP33_RS00285	831		old_locus_tag=CBP33_00285
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	63083	63913	-	WP_086910896.1	WP_086910896.1		ATP-binding cassette domain-containing protein			CBP33_RS00285	831	276	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	63980	64858	-							CBP33_RS00290	879		old_locus_tag=CBP33_00290
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	63980	64858	-	WP_236749198.1	WP_236749198.1		putative selenate ABC transporter substrate-binding protein			CBP33_RS00290	879	292	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	64984	65316	-							CBP33_RS00295	333		old_locus_tag=CBP33_00295
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	64984	65316	-	WP_024813546.1	WP_024813546.1		YnfA family protein			CBP33_RS00295	333	110	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	65545	66969	-							CBP33_RS00300	1425		old_locus_tag=CBP33_00300
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	65545	66969	-	WP_086910898.1	WP_086910898.1		FAD-binding protein			CBP33_RS00300	1425	474	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	67105	67461	-							CBP33_RS00305	357		old_locus_tag=CBP33_00305
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	67105	67461	-	WP_086910899.1	WP_086910899.1		EF-hand domain-containing protein			CBP33_RS00305	357	118	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	67628	68194	+							CBP33_RS00310	567		old_locus_tag=CBP33_00310
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	67628	68194	+	WP_086910900.1	WP_086910900.1		cob(I)yrinic acid a,c-diamide adenosyltransferase			CBP33_RS00310	567	188	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	68229	68651	-							CBP33_RS00315	423		old_locus_tag=CBP33_00315
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	68229	68651	-	WP_086910901.1	WP_086910901.1		hotdog fold thioesterase			CBP33_RS00315	423	140	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	68744	70261	-							CBP33_RS00320	1518		old_locus_tag=CBP33_00320
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	68744	70261	-	WP_086910902.1	WP_086910902.1		acetyl-CoA hydrolase/transferase family protein			CBP33_RS00320	1518	505	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	70382	71668	-							CBP33_RS00325	1287		old_locus_tag=CBP33_00325
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	70382	71668	-	WP_086910903.1	WP_086910903.1		NCS2 family nucleobase:cation symporter			CBP33_RS00325	1287	428	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	71826	73955	+							CBP33_RS00330	2130		old_locus_tag=CBP33_00330
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	71826	73955	+	WP_086910904.1	WP_086910904.1		acetoacetate--CoA ligase			CBP33_RS00330	2130	709	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	74005	74940	-							CBP33_RS00335	936		old_locus_tag=CBP33_00335
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	74005	74940	-	WP_086910905.1	WP_086910905.1		LysR family transcriptional regulator			CBP33_RS00335	936	311	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	75070	76053	+							CBP33_RS00340	984		old_locus_tag=CBP33_00340
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	75070	76053	+	WP_204246681.1	WP_204246681.1		tripartite tricarboxylate transporter substrate binding protein			CBP33_RS00340	984	327	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	76050	77297	+							CBP33_RS00345	1248		old_locus_tag=CBP33_00345
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	76050	77297	+	WP_086910906.1	WP_086910906.1		CoA transferase			CBP33_RS00345	1248	415	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	77294	78451	+							CBP33_RS00350	1158		old_locus_tag=CBP33_00350
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	77294	78451	+	WP_086910907.1	WP_086910907.1		acyl-CoA dehydrogenase family protein			CBP33_RS00350	1158	385	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	78617	79642	+							CBP33_RS00355	1026		old_locus_tag=CBP33_00355
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	78617	79642	+	WP_086913844.1	WP_086913844.1		acyl-CoA dehydrogenase family protein			CBP33_RS00355	1026	341	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	79865	80653	+							CBP33_RS00360	789		old_locus_tag=CBP33_00360
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	79865	80653	+	WP_086910908.1	WP_086910908.1		crotonase/enoyl-CoA hydratase family protein			CBP33_RS00360	789	262	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	80709	81899	+							CBP33_RS00365	1191		old_locus_tag=CBP33_00365
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	80709	81899	+	WP_086910909.1	WP_086910909.1		CoA transferase			CBP33_RS00365	1191	396	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	81914	82429	+							CBP33_RS00370	516		old_locus_tag=CBP33_00370
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	81914	82429	+	WP_236749199.1	WP_236749199.1		MaoC family dehydratase			CBP33_RS00370	516	171	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	82585	83502	+							CBP33_RS00375	918		old_locus_tag=CBP33_00375
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	82585	83502	+	WP_236749285.1	WP_236749285.1		tripartite tricarboxylate transporter substrate binding protein			CBP33_RS00375	918	305	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	83849	84478	+					pssA		CBP33_RS00380	630		old_locus_tag=CBP33_00380
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	83849	84478	+	WP_086910911.1	WP_086910911.1		CDP-diacylglycerol--serine O-phosphatidyltransferase	pssA		CBP33_RS00380	630	209	
