# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	20994	22568	+						34236884	ACAV_RS00080	1575		old_locus_tag=Acav_0014
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	20994	22568	+	WP_013592530.1	WP_013592530.1		RNA-binding protein		34236884	ACAV_RS00080	1575	524	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	23048	24274	+						34236734	ACAV_RS00085	1227		old_locus_tag=Acav_0015
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	23048	24274	+	WP_041828873.1	WP_041828873.1		RtcB family protein		34236734	ACAV_RS00085	1227	408	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	24297	25115	+						34236902	ACAV_RS00090	819		old_locus_tag=Acav_0016
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	24297	25115	+	WP_013592532.1	WP_013592532.1		nucleotidyltransferase domain-containing protein		34236902	ACAV_RS00090	819	272	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	25146	26183	+					rtcA	34236469	ACAV_RS00095	1038		old_locus_tag=Acav_0017
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	25146	26183	+	WP_013592533.1	WP_013592533.1		RNA 3'-terminal phosphate cyclase	rtcA	34236469	ACAV_RS00095	1038	345	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	26223	26651	+						34235564	ACAV_RS00100	429		old_locus_tag=Acav_0018
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	26223	26651	+	WP_013592534.1	WP_013592534.1		YkgJ family cysteine cluster protein		34235564	ACAV_RS00100	429	142	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	26797	27234	+						34238809	ACAV_RS00105	438		old_locus_tag=Acav_0019
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	26797	27234	+	WP_013592535.1	WP_013592535.1		OsmC family protein		34238809	ACAV_RS00105	438	145	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	27306	27566	+						34236487	ACAV_RS00110	261		old_locus_tag=Acav_0020
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	27306	27566	+	WP_013592536.1	WP_013592536.1		4Fe-4S binding protein		34236487	ACAV_RS00110	261	86	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	27834	29234	+						34238775	ACAV_RS00115	1401		old_locus_tag=Acav_0021
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	27834	29234	+	WP_013592537.1	WP_013592537.1		homoserine dehydrogenase		34238775	ACAV_RS00115	1401	466	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	29295	29597	-						34235847	ACAV_RS00120	303		old_locus_tag=Acav_0022
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	29295	29597	-	WP_013592538.1	WP_013592538.1		hypothetical protein		34235847	ACAV_RS00120	303	100	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	29734	31959	+					dinG	34235649	ACAV_RS00125	2226		old_locus_tag=Acav_0023
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	29734	31959	+	WP_013592539.1	WP_013592539.1		ATP-dependent DNA helicase DinG	dinG	34235649	ACAV_RS00125	2226	741	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	32140	32637	+						34236968	ACAV_RS00130	498		old_locus_tag=Acav_0024
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	32140	32637	+	WP_013592540.1	WP_013592540.1		pyridoxamine 5'-phosphate oxidase family protein		34236968	ACAV_RS00130	498	165	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	32718	32927	+						34236223	ACAV_RS00135	210		old_locus_tag=Acav_0025
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	32718	32927	+	WP_013592541.1	WP_013592541.1		hypothetical protein		34236223	ACAV_RS00135	210	69	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	32972	33640	+						34235200	ACAV_RS00140	669		old_locus_tag=Acav_0026
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	32972	33640	+	WP_013592542.1	WP_013592542.1		3'-5' exonuclease		34235200	ACAV_RS00140	669	222	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	33674	35002	-						34239162	ACAV_RS00145	1329		old_locus_tag=Acav_0027
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	33674	35002	-	WP_041828456.1	WP_041828456.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme		34239162	ACAV_RS00145	1329	442	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	35212	35622	-						34239656	ACAV_RS00150	411		old_locus_tag=Acav_0028
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	35212	35622	-	WP_013592544.1	WP_013592544.1		nuclear transport factor 2 family protein		34239656	ACAV_RS00150	411	136	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	35737	36678	+						34238850	ACAV_RS00155	942		old_locus_tag=Acav_0029
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	35737	36678	+	WP_157768814.1	WP_157768814.1		LysR family transcriptional regulator		34238850	ACAV_RS00155	942	313	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	37070	38782	+					leuA	34236233	ACAV_RS00160	1713		old_locus_tag=Acav_0030
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	37070	38782	+	WP_041828875.1	WP_041828875.1		2-isopropylmalate synthase	leuA	34236233	ACAV_RS00160	1713	570	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	38865	39386	+						34235204	ACAV_RS00165	522		old_locus_tag=Acav_0031
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	38865	39386	+	WP_049791025.1	WP_049791025.1		C40 family peptidase		34235204	ACAV_RS00165	522	173	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	39439	40581	+						34236681	ACAV_RS00170	1143		old_locus_tag=Acav_0032
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	39439	40581	+	WP_013592548.1	WP_013592548.1		3-deoxy-7-phosphoheptulonate synthase		34236681	ACAV_RS00170	1143	380	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	40846	45345	+						34238705	ACAV_RS00175	4500		old_locus_tag=Acav_0033
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	40846	45345	+	WP_013592549.1	WP_013592549.1		EAL domain-containing protein		34238705	ACAV_RS00175	4500	1499	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	46447	47034	-						34236929	ACAV_RS00180	588		old_locus_tag=Acav_0034
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	46447	47034	-	WP_013592550.1	WP_013592550.1		acyloxyacyl hydrolase		34236929	ACAV_RS00180	588	195	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	47151	47705	-						34237630	ACAV_RS00185	555		old_locus_tag=Acav_0035
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	47151	47705	-	WP_013592551.1	WP_013592551.1		Spy/CpxP family protein refolding chaperone		34237630	ACAV_RS00185	555	184	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	47944	48939	+						34239271	ACAV_RS00190	996		old_locus_tag=Acav_0036
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	47944	48939	+	WP_041828458.1	WP_041828458.1		recombination-associated protein RdgC		34239271	ACAV_RS00190	996	331	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	48989	50242	+						34239294	ACAV_RS00195	1254		old_locus_tag=Acav_0037
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	48989	50242	+	WP_013592553.1	WP_013592553.1		membrane protein		34239294	ACAV_RS00195	1254	417	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	50345	50593	+						34235841	ACAV_RS00200	249		old_locus_tag=Acav_0038
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	50345	50593	+	WP_013592554.1	WP_013592554.1		DUF3297 family protein		34235841	ACAV_RS00200	249	82	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	50597	51016	-						34237208	ACAV_RS00205	420		old_locus_tag=Acav_0039
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	50597	51016	-	WP_244875508.1	WP_244875508.1		hypothetical protein		34237208	ACAV_RS00205	420	139	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	51124	51414	-						34238735	ACAV_RS00210	291		old_locus_tag=Acav_0040
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	51124	51414	-	WP_244875509.1	WP_244875509.1		BPSL0067 family protein		34238735	ACAV_RS00210	291	96	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	51350	52540	-						34235300	ACAV_RS00215	1191		old_locus_tag=Acav_0041
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	51350	52540	-	WP_013592556.1	WP_013592556.1		acetyl-CoA C-acyltransferase family protein		34235300	ACAV_RS00215	1191	396	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	52813	53166	-						34235867	ACAV_RS00220	354		old_locus_tag=Acav_0042
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	52813	53166	-	WP_231502399.1	WP_231502399.1		MerR family DNA-binding protein		34235867	ACAV_RS00220	354	117	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	53322	53519	-						34235189	ACAV_RS00225	198		old_locus_tag=Acav_0043
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	53322	53519	-	WP_013592558.1	WP_013592558.1		heavy-metal-associated domain-containing protein		34235189	ACAV_RS00225	198	65	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	53741	55951	+						34239751	ACAV_RS00230	2211		old_locus_tag=Acav_0044
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	53741	55951	+	WP_244875569.1	WP_244875569.1		heavy metal translocating P-type ATPase		34239751	ACAV_RS00230	2211	736	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	56056	57720	+						34235403	ACAV_RS00235	1665		old_locus_tag=Acav_0045
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	56056	57720	+	WP_013592560.1	WP_013592560.1		methyl-accepting chemotaxis protein		34235403	ACAV_RS00235	1665	554	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	57818	58261	-						34235396	ACAV_RS23915	444		old_locus_tag=Acav_0046
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	57818	58261	-	WP_244875510.1	WP_244875510.1		DUF1311 domain-containing protein		34235396	ACAV_RS23915	444	147	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	58500	58988	-						34236577	ACAV_RS23920	489		old_locus_tag=Acav_0047
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	58500	58988	-	WP_013592562.1	WP_013592562.1		type VI secretion system amidase effector protein Tae4		34236577	ACAV_RS23920	489	162	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	59282	62365	-						34238176	ACAV_RS00240	3084		old_locus_tag=Acav_0048
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	59282	62365	-	WP_013592563.1	WP_013592563.1		CusA/CzcA family heavy metal efflux RND transporter		34238176	ACAV_RS00240	3084	1027	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	62362	63573	-						34237520	ACAV_RS00245	1212		old_locus_tag=Acav_0049
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	62362	63573	-	WP_013592564.1	WP_013592564.1		efflux RND transporter periplasmic adaptor subunit		34237520	ACAV_RS00245	1212	403	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	63646	65031	-						34236395	ACAV_RS00250	1386		old_locus_tag=Acav_0050
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	63646	65031	-	WP_013592565.1	WP_013592565.1		TolC family protein		34236395	ACAV_RS00250	1386	461	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	65182	65895	+						34237919	ACAV_RS00255	714		old_locus_tag=Acav_0051
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	65182	65895	+	WP_013592566.1	WP_013592566.1		response regulator transcription factor		34237919	ACAV_RS00255	714	237	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	65892	67325	+						34237748	ACAV_RS00260	1434		old_locus_tag=Acav_0052
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	65892	67325	+	WP_013592567.1	WP_013592567.1		sensor histidine kinase		34237748	ACAV_RS00260	1434	477	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	67350	67658	-						34237594	ACAV_RS00265	309		old_locus_tag=Acav_0053
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	67350	67658	-	WP_013592568.1	WP_013592568.1		NIPSNAP family protein		34237594	ACAV_RS00265	309	102	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	67853	68920	-						34237192	ACAV_RS00270	1068		old_locus_tag=Acav_0054
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	67853	68920	-	WP_049791206.1	WP_049791206.1		alkene reductase		34237192	ACAV_RS00270	1068	355	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	69371	70318	+					tauA	34235886	ACAV_RS00275	948		old_locus_tag=Acav_0055
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	69371	70318	+	WP_244875570.1	WP_244875570.1		taurine ABC transporter substrate-binding protein	tauA	34235886	ACAV_RS00275	948	315	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	70371	71174	+						34238372	ACAV_RS00280	804		old_locus_tag=Acav_0056
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	70371	71174	+	WP_049791208.1	WP_049791208.1		ATP-binding cassette domain-containing protein		34238372	ACAV_RS00280	804	267	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	71182	72081	+						34236279	ACAV_RS00285	900		old_locus_tag=Acav_0057
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	71182	72081	+	WP_049791209.1	WP_049791209.1		ABC transporter permease subunit		34236279	ACAV_RS00285	900	299	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	72128	72736	-					gstA	34237029	ACAV_RS00290	609		old_locus_tag=Acav_0058
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	72128	72736	-	WP_041828884.1	WP_041828884.1		glutathione transferase GstA	gstA	34237029	ACAV_RS00290	609	202	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	72839	73102	-						34239649	ACAV_RS23925	264		old_locus_tag=Acav_0059
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	72839	73102	-	WP_013592574.1	WP_013592574.1		YkgJ family cysteine cluster protein		34239649	ACAV_RS23925	264	87	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	73109	73690	-						34236563	ACAV_RS00300	582		old_locus_tag=Acav_0060
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	73109	73690	-	WP_041828886.1	WP_041828886.1		NAD(P)H-dependent oxidoreductase		34236563	ACAV_RS00300	582	193	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	73994	75961	+					mnmG	34236642	ACAV_RS00305	1968		old_locus_tag=Acav_0061
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	73994	75961	+	WP_013592576.1	WP_013592576.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	mnmG	34236642	ACAV_RS00305	1968	655	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	75958	76689	+					rsmG	34236514	ACAV_RS00310	732		old_locus_tag=Acav_0062
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	75958	76689	+	WP_013592577.1	WP_013592577.1		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG	34236514	ACAV_RS00310	732	243	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	76719	77333	+						34238643	ACAV_RS00315	615		old_locus_tag=Acav_0063
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	76719	77333	+	WP_013592578.1	WP_013592578.1		LysE family transporter		34238643	ACAV_RS00315	615	204	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	77377	78147	+						34237342	ACAV_RS00320	771		old_locus_tag=Acav_0064
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	77377	78147	+	WP_013592579.1	WP_013592579.1		AAA family ATPase		34237342	ACAV_RS00320	771	256	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	78171	78713	+						34235206	ACAV_RS00325	543		old_locus_tag=Acav_0065
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	78171	78713	+	WP_013592580.1	WP_013592580.1		alpha/beta fold hydrolase		34235206	ACAV_RS00325	543	180	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	78803	79165	+						34236167	ACAV_RS00330	363		old_locus_tag=Acav_0066
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	78803	79165	+	WP_244875511.1	WP_244875511.1		hypothetical protein		34236167	ACAV_RS00330	363	120	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	79197	80135	+						34237412	ACAV_RS00335	939		old_locus_tag=Acav_0067
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	79197	80135	+	WP_013592582.1	WP_013592582.1		ParB/RepB/Spo0J family partition protein		34237412	ACAV_RS00335	939	312	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	80230	81825	-						34236432	ACAV_RS00340	1596		old_locus_tag=Acav_0068
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	80230	81825	-	WP_013592583.1	WP_013592583.1		long-chain-fatty-acid--CoA ligase		34236432	ACAV_RS00340	1596	531	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	81803	83689	-						34236198	ACAV_RS00345	1887		old_locus_tag=Acav_0069
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	81803	83689	-	WP_013592584.1	WP_013592584.1		DUF1446 domain-containing protein		34236198	ACAV_RS00345	1887	628	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	83693	84514	-						34236927	ACAV_RS00350	822		old_locus_tag=Acav_0070
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	83693	84514	-	WP_013592585.1	WP_013592585.1		NAD(P)-dependent oxidoreductase		34236927	ACAV_RS00350	822	273	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	84603	85394	-						34235828	ACAV_RS00355	792		old_locus_tag=Acav_0071
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	84603	85394	-	WP_013592586.1	WP_013592586.1		enoyl-CoA hydratase/isomerase family protein		34235828	ACAV_RS00355	792	263	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	85391	87373	-						34238792	ACAV_RS00360	1983		old_locus_tag=Acav_0072
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	85391	87373	-	WP_218918156.1	WP_218918156.1		acetyl-CoA carboxylase biotin carboxylase subunit		34238792	ACAV_RS00360	1983	660	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	87430	89049	-						34236452	ACAV_RS00365	1620		old_locus_tag=Acav_0073
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	87430	89049	-	WP_013592588.1	WP_013592588.1		acetyl-CoA carboxylase carboxyltransferase subunit		34236452	ACAV_RS00365	1620	539	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	89169	90074	-						34237219	ACAV_RS00370	906		old_locus_tag=Acav_0074
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	89169	90074	-	WP_013592589.1	WP_013592589.1		phosphatidylglycerol lysyltransferase domain-containing protein		34237219	ACAV_RS00370	906	301	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	90058	90948	-						34237510	ACAV_RS00375	891		old_locus_tag=Acav_0075
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	90058	90948	-	WP_225981616.1	WP_225981616.1		TIGR03084 family metal-binding protein		34237510	ACAV_RS00375	891	296	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	91010	91840	-						34237704	ACAV_RS00380	831		old_locus_tag=Acav_0076
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	91010	91840	-	WP_013592591.1	WP_013592591.1		helix-turn-helix domain-containing protein		34237704	ACAV_RS00380	831	276	
