# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	18548	19489	-	WP_187736467.1	WP_187736467.1		baseplate J/gp47 family protein			H9L24_RS00110	942	313	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	19486	19836	-							H9L24_RS00115	351		old_locus_tag=H9L24_00115
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	19486	19836	-	WP_187736468.1	WP_187736468.1		GPW/gp25 family protein			H9L24_RS00115	351	116	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	19833	20429	-							H9L24_RS00120	597		old_locus_tag=H9L24_00120
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	19833	20429	-	WP_246483529.1	WP_246483529.1		phage baseplate assembly protein V			H9L24_RS00120	597	198	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	20501	20965	-							H9L24_RS00125	465		old_locus_tag=H9L24_00125
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	20501	20965	-	WP_187736470.1	WP_187736470.1		phage virion morphogenesis protein			H9L24_RS00125	465	154	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	21070	21564	-							H9L24_RS00130	495		old_locus_tag=H9L24_00130
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	21070	21564	-	WP_187736471.1	WP_187736471.1		phage tail protein			H9L24_RS00130	495	164	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	21548	22111	-							H9L24_RS00135	564		old_locus_tag=H9L24_00135
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	21548	22111	-	WP_246483530.1	WP_246483530.1		DUF2514 domain-containing protein			H9L24_RS00135	564	187	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	22108	22671	-							H9L24_RS00140	564		old_locus_tag=H9L24_00140
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	22108	22671	-	WP_187736472.1	WP_187736472.1		lysozyme			H9L24_RS00140	564	187	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	22668	22895	-							H9L24_RS00145	228		old_locus_tag=H9L24_00145
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	22668	22895	-	WP_187736473.1	WP_187736473.1		hypothetical protein			H9L24_RS00145	228	75	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	22903	23106	-							H9L24_RS00150	204		old_locus_tag=H9L24_00150
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	22903	23106	-	WP_187736474.1	WP_187736474.1		tail protein X			H9L24_RS00150	204	67	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	23106	23570	-							H9L24_RS00155	465		old_locus_tag=H9L24_00155
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	23106	23570	-	WP_187736475.1	WP_187736475.1		head completion/stabilization protein			H9L24_RS00155	465	154	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	23714	24391	-					gpM		H9L24_RS00160	678		old_locus_tag=H9L24_00160
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	23714	24391	-	WP_246483531.1	WP_246483531.1		phage terminase small subunit	gpM		H9L24_RS00160	678	225	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	24523	25530	-							H9L24_RS00165	1008		old_locus_tag=H9L24_00165
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	24523	25530	-	WP_187736477.1	WP_187736477.1		phage major capsid protein, P2 family			H9L24_RS00165	1008	335	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	25590	26420	-							H9L24_RS00170	831		old_locus_tag=H9L24_00170
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	25590	26420	-	WP_187736478.1	WP_187736478.1		GPO family capsid scaffolding protein			H9L24_RS00170	831	276	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	26747	28444	+							H9L24_RS00175	1698		old_locus_tag=H9L24_00175
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	26747	28444	+	WP_246483763.1	WP_246483763.1		terminase family protein			H9L24_RS00175	1698	565	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	28447	29511	+							H9L24_RS00180	1065		old_locus_tag=H9L24_00180
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	28447	29511	+	WP_187736480.1	WP_187736480.1		phage portal protein			H9L24_RS00180	1065	354	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	29569	30051	-							H9L24_RS00185	483		old_locus_tag=H9L24_00185
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	29569	30051	-	WP_187736481.1	WP_187736481.1		hypothetical protein			H9L24_RS00185	483	160	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	30578	31312	+							H9L24_RS00190	735		old_locus_tag=H9L24_00190
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	30578	31312	+	WP_187736482.1	WP_187736482.1		DUF4145 domain-containing protein			H9L24_RS00190	735	244	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	31842	32165	+							H9L24_RS00195	324		old_locus_tag=H9L24_00195
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	31842	32165	+	WP_187736483.1	WP_187736483.1		metalloregulator ArsR/SmtB family transcription factor			H9L24_RS00195	324	107	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	32199	32612	-							H9L24_RS00200	414		old_locus_tag=H9L24_00200
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	32199	32612	-	WP_187738177.1	WP_187738177.1		DsrE family protein			H9L24_RS00200	414	137	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	32749	33858	-							H9L24_RS00205	1110		old_locus_tag=H9L24_00205
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	32749	33858	-	WP_187736484.1	WP_187736484.1		YeeE/YedE family protein			H9L24_RS00205	1110	369	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	34043	34906	+							H9L24_RS00210	864		old_locus_tag=H9L24_00210
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	34043	34906	+	WP_187738178.1	WP_187738178.1		MBL fold metallo-hydrolase			H9L24_RS00210	864	287	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	34903	35382	+							H9L24_RS00215	480		old_locus_tag=H9L24_00215
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	34903	35382	+	WP_187736485.1	WP_187736485.1		hypothetical protein			H9L24_RS00215	480	159	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	35514	35822	+							H9L24_RS00220	309		old_locus_tag=H9L24_00220
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	35514	35822	+	WP_187738179.1	WP_187738179.1		c-type cytochrome			H9L24_RS00220	309	102	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	35873	37222	+					soxC		H9L24_RS00225	1350		old_locus_tag=H9L24_00225
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	35873	37222	+	WP_187738180.1	WP_187738180.1		sulfite dehydrogenase	soxC		H9L24_RS00225	1350	449	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	37206	38261	+							H9L24_RS00230	1056		old_locus_tag=H9L24_00230
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	37206	38261	+	WP_187736486.1	WP_187736486.1		c-type cytochrome			H9L24_RS00230	1056	351	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	38331	38786	+					soxY		H9L24_RS00235	456		old_locus_tag=H9L24_00235
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	38331	38786	+	WP_187736487.1	WP_187736487.1		thiosulfate oxidation carrier protein SoxY	soxY		H9L24_RS00235	456	151	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	38815	39126	+					soxZ		H9L24_RS00240	312		old_locus_tag=H9L24_00240
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	38815	39126	+	WP_187736488.1	WP_187736488.1		thiosulfate oxidation carrier complex protein SoxZ	soxZ		H9L24_RS00240	312	103	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	39212	40012	+					soxA		H9L24_RS00245	801		old_locus_tag=H9L24_00245
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	39212	40012	+	WP_187736489.1	WP_187736489.1		sulfur oxidation c-type cytochrome SoxA	soxA		H9L24_RS00245	801	266	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	40024	40689	+					soxX		H9L24_RS00250	666		old_locus_tag=H9L24_00250
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	40024	40689	+	WP_246483532.1	WP_246483532.1		sulfur oxidation c-type cytochrome SoxX	soxX		H9L24_RS00250	666	221	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	40738	42465	+					soxB		H9L24_RS00255	1728		old_locus_tag=H9L24_00255
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	40738	42465	+	WP_187736490.1	WP_187736490.1		thiosulfohydrolase SoxB	soxB		H9L24_RS00255	1728	575	
gene	pseudogene	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	42515	43629	+							H9L24_RS00260	1115		pseudo;old_locus_tag=H9L24_00260
CDS	without_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	42515	43629	+				YeeE/YedE family protein			H9L24_RS00260	1115		pseudo
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	43646	44065	-							H9L24_RS00265	420		old_locus_tag=H9L24_00265
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	43646	44065	-	WP_187736491.1	WP_187736491.1		RNA-binding S4 domain-containing protein			H9L24_RS00265	420	139	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	44062	45501	-							H9L24_RS00270	1440		old_locus_tag=H9L24_00270
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	44062	45501	-	WP_187736492.1	WP_187736492.1		sensor histidine kinase			H9L24_RS00270	1440	479	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	45664	46344	-							H9L24_RS00275	681		old_locus_tag=H9L24_00275
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	45664	46344	-	WP_246483533.1	WP_246483533.1		response regulator transcription factor			H9L24_RS00275	681	226	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	46465	47511	+							H9L24_RS00280	1047		old_locus_tag=H9L24_00280
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	46465	47511	+	WP_187736494.1	WP_187736494.1		porin			H9L24_RS00280	1047	348	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	47633	48592	+							H9L24_RS00285	960		old_locus_tag=H9L24_00285
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	47633	48592	+	WP_187736495.1	WP_187736495.1		tripartite tricarboxylate transporter substrate binding protein			H9L24_RS00285	960	319	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	48723	49292	+							H9L24_RS00290	570		old_locus_tag=H9L24_00290
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	48723	49292	+	WP_187736496.1	WP_187736496.1		tripartite tricarboxylate transporter TctB family protein			H9L24_RS00290	570	189	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	49292	50827	+							H9L24_RS00295	1536		old_locus_tag=H9L24_00295
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	49292	50827	+	WP_187736497.1	WP_187736497.1		tripartite tricarboxylate transporter permease			H9L24_RS00295	1536	511	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	50913	51887	-							H9L24_RS00300	975		old_locus_tag=H9L24_00300
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	50913	51887	-	WP_187736498.1	WP_187736498.1		porin			H9L24_RS00300	975	324	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	52081	52800	-							H9L24_RS00305	720		old_locus_tag=H9L24_00305
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	52081	52800	-	WP_187736499.1	WP_187736499.1		phosphatase PAP2 family protein			H9L24_RS00305	720	239	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	53134	54642	+							H9L24_RS00310	1509		old_locus_tag=H9L24_00310
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	53134	54642	+	WP_187736500.1	WP_187736500.1		sigma 54-interacting transcriptional regulator			H9L24_RS00310	1509	502	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	54792	55976	+							H9L24_RS00315	1185		old_locus_tag=H9L24_00315
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	54792	55976	+	WP_187736501.1	WP_187736501.1		substrate-binding domain-containing protein			H9L24_RS00315	1185	394	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	56134	57612	+							H9L24_RS00320	1479		old_locus_tag=H9L24_00320
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	56134	57612	+	WP_187736502.1	WP_187736502.1		hypothetical protein			H9L24_RS00320	1479	492	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	57659	58441	+							H9L24_RS00325	783		old_locus_tag=H9L24_00325
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	57659	58441	+	WP_187736503.1	WP_187736503.1		ABC transporter ATP-binding protein			H9L24_RS00325	783	260	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	58438	59166	+							H9L24_RS00330	729		old_locus_tag=H9L24_00330
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	58438	59166	+	WP_187736504.1	WP_187736504.1		ABC transporter ATP-binding protein			H9L24_RS00330	729	242	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	59258	60241	+							H9L24_RS00335	984		old_locus_tag=H9L24_00335
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	59258	60241	+	WP_187736505.1	WP_187736505.1		branched-chain amino acid ABC transporter permease			H9L24_RS00335	984	327	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	60255	61325	+							H9L24_RS00340	1071		old_locus_tag=H9L24_00340
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	60255	61325	+	WP_187736506.1	WP_187736506.1		branched-chain amino acid ABC transporter permease			H9L24_RS00340	1071	356	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	61383	63530	+							H9L24_RS00345	2148		old_locus_tag=H9L24_00345
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	61383	63530	+	WP_187736507.1	WP_187736507.1		D-(-)-3-hydroxybutyrate oligomer hydrolase			H9L24_RS00345	2148	715	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	63593	64741	+							H9L24_RS00350	1149		old_locus_tag=H9L24_00350
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	63593	64741	+	WP_187736508.1	WP_187736508.1		ABC transporter substrate-binding protein			H9L24_RS00350	1149	382	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	64783	65661	+							H9L24_RS00355	879		old_locus_tag=H9L24_00355
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	64783	65661	+	WP_187736509.1	WP_187736509.1		alpha/beta hydrolase			H9L24_RS00355	879	292	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	65894	66160	-							H9L24_RS00360	267		old_locus_tag=H9L24_00360
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	65894	66160	-	WP_187736510.1	WP_187736510.1		hypothetical protein			H9L24_RS00360	267	88	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	66387	67007	-							H9L24_RS00365	621		old_locus_tag=H9L24_00365
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	66387	67007	-	WP_246483534.1	WP_246483534.1		IPTL-CTERM sorting domain-containing protein			H9L24_RS00365	621	206	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	68003	69472	+							H9L24_RS00370	1470		old_locus_tag=H9L24_00370
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	68003	69472	+	WP_187736512.1	WP_187736512.1		hypothetical protein			H9L24_RS00370	1470	489	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	69553	69927	+							H9L24_RS00375	375		old_locus_tag=H9L24_00375
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	69553	69927	+	WP_187736513.1	WP_187736513.1		hypothetical protein			H9L24_RS00375	375	124	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	70034	71146	-							H9L24_RS00380	1113		old_locus_tag=H9L24_00380
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	70034	71146	-	WP_187736514.1	WP_187736514.1		LuxR C-terminal-related transcriptional regulator			H9L24_RS00380	1113	370	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	71153	71413	-							H9L24_RS22305	261		
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	71153	71413	-	WP_246483764.1	WP_246483764.1		helix-turn-helix transcriptional regulator			H9L24_RS22305	261	86	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	71356	72255	-							H9L24_RS00385	900		old_locus_tag=H9L24_00385
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	71356	72255	-	WP_246483770.1	WP_246483770.1		LuxR family transcriptional regulator			H9L24_RS00385	900	299	
